Palavra-Chave,Respostas
Olá,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
oi,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
ola,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
Tudo bem?,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
tudo bem,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
Hello,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
Hi,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
Hola,"Olá, sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
bom dia,"Bom dia!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
bom dia!,"Bom dia!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
